source,category_column,category_value,count
audi.csv,fuel_type,Diesel,5577
audi.csv,fuel_type,Petrol,5063
audi.csv,fuel_type,Hybrid,28
audi.csv,transmission,Manual,4369
audi.csv,transmission,Semi-Auto,3591
audi.csv,transmission,Automatic,2708
bmw.csv,fuel_type,Diesel,7027
bmw.csv,fuel_type,Petrol,3417
bmw.csv,fuel_type,Hybrid,298
bmw.csv,fuel_type,Other,36
bmw.csv,fuel_type,Electric,3
bmw.csv,transmission,Semi-Auto,4666
bmw.csv,transmission,Automatic,3588
bmw.csv,transmission,Manual,2527
ford.csv,fuel_type,Petrol,12178
ford.csv,fuel_type,Diesel,5762
ford.csv,fuel_type,Hybrid,22
ford.csv,fuel_type,Electric,2
ford.csv,fuel_type,Other,1
ford.csv,transmission,Manual,15517
ford.csv,transmission,Automatic,1361
ford.csv,transmission,Semi-Auto,1087
hyundi.csv,fuel_type,Petrol,2902
hyundi.csv,fuel_type,Diesel,1608
hyundi.csv,fuel_type,Hybrid,349
hyundi.csv,fuel_type,Other,1
hyundi.csv,transmission,Manual,3611
hyundi.csv,transmission,Automatic,669
hyundi.csv,transmission,Semi-Auto,578
hyundi.csv,transmission,Other,2
merc.csv,fuel_type,Diesel,9187
merc.csv,fuel_type,Petrol,3752
merc.csv,fuel_type,Hybrid,173
merc.csv,fuel_type,Other,7
merc.csv,transmission,Semi-Auto,6848
merc.csv,transmission,Automatic,4825
merc.csv,transmission,Manual,1444
merc.csv,transmission,Other,2
skoda.csv,fuel_type,Petrol,4171
skoda.csv,fuel_type,Diesel,2069
skoda.csv,fuel_type,Hybrid,18
skoda.csv,fuel_type,Other,9
skoda.csv,transmission,Manual,3754
skoda.csv,transmission,Semi-Auto,1408
skoda.csv,transmission,Automatic,1104
skoda.csv,transmission,Other,1
toyota.csv,fuel_type,Petrol,4087
toyota.csv,fuel_type,Hybrid,2043
toyota.csv,fuel_type,Diesel,503
toyota.csv,fuel_type,Other,105
toyota.csv,transmission,Manual,3826
toyota.csv,transmission,Automatic,2657
toyota.csv,transmission,Semi-Auto,254
toyota.csv,transmission,Other,1
vauxhall.csv,fuel_type,Petrol,10805
vauxhall.csv,fuel_type,Diesel,2823
vauxhall.csv,fuel_type,Hybrid,2
vauxhall.csv,fuel_type,Other,1
vauxhall.csv,fuel_type,Electric,1
vauxhall.csv,transmission,Manual,11980
vauxhall.csv,transmission,Automatic,1184
vauxhall.csv,transmission,Semi-Auto,465
vauxhall.csv,transmission,Other,3
vw.csv,fuel_type,Petrol,8553
vw.csv,fuel_type,Diesel,6372
vw.csv,fuel_type,Hybrid,145
vw.csv,fuel_type,Other,87
vw.csv,transmission,Manual,9417
vw.csv,transmission,Semi-Auto,3780
vw.csv,transmission,Automatic,1960
cclass.csv,fuel_type,Diesel,2340
cclass.csv,fuel_type,Petrol,1402
cclass.csv,fuel_type,Hybrid,151
cclass.csv,fuel_type,Other,6
cclass.csv,transmission,Semi-Auto,2071
cclass.csv,transmission,Automatic,1628
cclass.csv,transmission,Manual,199
cclass.csv,transmission,Other,1
focus.csv,fuel_type,Petrol,3545
focus.csv,fuel_type,Diesel,1909
focus.csv,transmission,Manual,4664
focus.csv,transmission,Automatic,635
focus.csv,transmission,Semi-Auto,155
canonical_candidate_combined,fuel_type,Petrol,54928
canonical_candidate_combined,fuel_type,Diesel,40928
canonical_candidate_combined,fuel_type,Hybrid,3078
canonical_candidate_combined,fuel_type,Other,247
canonical_candidate_combined,fuel_type,Electric,6
canonical_candidate_combined,transmission,Manual,56445
canonical_candidate_combined,transmission,Semi-Auto,22677
canonical_candidate_combined,transmission,Automatic,20056
canonical_candidate_combined,transmission,Other,9
