brand,model,year,vehicle_age,price,transmission,mileage,fuel_type,tax,mpg,engine_size,source_file
Audi,A1,2015,9,9500,Automatic,54754,Diesel,0,76.3,1.6,audi.csv
Audi,A4,2016,8,12750,Manual,52561,Diesel,0,74.3,2.0,audi.csv
Audi,A3,2016,8,10200,Manual,66369,Diesel,0,83.1,1.6,audi.csv
Audi,A1,2013,11,7000,Manual,76269,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2016,8,11300,Manual,25626,Diesel,0,74.3,1.6,audi.csv
Audi,A1,2016,8,10600,Manual,15567,Diesel,0,76.3,1.6,audi.csv
Audi,A1,2016,8,9800,Manual,36462,Diesel,0,76.3,1.6,audi.csv
Audi,A1,2017,7,12700,Manual,27179,Diesel,0,76.3,1.6,audi.csv
Audi,A4,2016,8,11750,Manual,72026,Diesel,0,74.3,2.0,audi.csv
Audi,A3,2013,11,8300,Manual,98940,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2016,8,11998,Manual,24468,Diesel,0,74.3,1.6,audi.csv
Audi,A1,2014,10,11995,Manual,24764,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2016,8,13995,Manual,40030,Diesel,0,83.1,1.6,audi.csv
Audi,A1,2016,8,10995,Manual,45644,Diesel,0,80.7,1.6,audi.csv
Audi,A4,2016,8,13998,Manual,37478,Diesel,0,74.3,2.0,audi.csv
Audi,A3,2015,9,10385,Manual,68428,Diesel,0,83.1,1.6,audi.csv
Audi,A4,2016,8,11500,Manual,56235,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,13995,Manual,41279,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2017,7,11495,Manual,24857,Diesel,0,76.3,1.6,audi.csv
Audi,A4,2017,7,14849,Manual,58670,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,15495,Manual,32811,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2015,9,9995,Manual,19603,Diesel,0,80.7,1.6,audi.csv
Audi,A4,2016,8,14998,Manual,30498,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,13998,Manual,38405,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,12498,Manual,78269,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,15256,Manual,25214,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2015,9,13351,Manual,39652,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,15596,Manual,16666,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2017,7,13298,Manual,57464,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2016,8,9619,Manual,58952,Diesel,0,76.3,1.6,audi.csv
Audi,A4,2016,8,11698,Manual,72981,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2014,10,7956,Manual,47000,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2017,7,12498,Manual,37882,Diesel,0,74.3,1.6,audi.csv
Audi,A4,2017,7,14295,Manual,53000,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2015,9,9798,Manual,29554,Diesel,0,80.7,1.6,audi.csv
Audi,A4,2016,8,14995,Manual,41100,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2015,9,9298,Manual,43440,Diesel,0,80.7,1.6,audi.csv
Audi,A3,2015,9,9391,Manual,73567,Diesel,0,83.1,1.6,audi.csv
Audi,A4,2016,8,11998,Manual,77976,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2016,8,14998,Manual,32379,Diesel,0,74.3,2.0,audi.csv
Audi,A4,2017,7,12898,Manual,72816,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2016,8,9578,Manual,42391,Diesel,0,76.3,1.6,audi.csv
Audi,A3,2016,8,11998,Manual,31952,Diesel,0,83.1,1.6,audi.csv
Audi,A1,2016,8,9498,Manual,48889,Diesel,0,76.3,1.6,audi.csv
Audi,A4,2016,8,14995,Manual,30578,Diesel,0,74.3,2.0,audi.csv
Audi,A1,2015,9,10598,Manual,26300,Diesel,0,80.7,1.6,audi.csv
Audi,A3,2016,8,10498,Manual,68294,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2016,8,10298,Manual,67959,Diesel,0,74.3,1.6,audi.csv
Audi,A4,2016,8,13998,Semi-Auto,47791,Diesel,0,72.4,2.0,audi.csv
Audi,A1,2016,8,9895,Manual,75189,Diesel,0,80.7,1.6,audi.csv
Audi,A3,2017,7,11995,Manual,68643,Diesel,0,74.3,1.6,audi.csv
Audi,A3,2015,9,9595,Manual,71335,Diesel,0,74.3,1.6,audi.csv
Audi,A1,2016,8,10395,Manual,53440,Diesel,0,80.7,1.6,audi.csv
Audi,A1,2016,8,10495,Manual,45954,Diesel,0,80.7,1.6,audi.csv
Audi,A4,2017,7,14995,Semi-Auto,41000,Diesel,0,72.4,2.0,audi.csv
Audi,A1,2017,7,11795,Manual,27444,Diesel,0,76.3,1.6,audi.csv
