vehicle_age,car_count,average_price,median_price,minimum_price,maximum_price
4,4465,28392.529451287795,26000.0,8990,159999
5,26771,23525.855552650257,21980.0,5528,140319
6,13664,16241.165471311475,14195.0,5790,139995
7,21733,14365.755164956518,12800.0,3795,109495
8,15850,13286.618107255521,11999.0,3990,99950
9,7645,11653.298364944409,10490.0,3950,123456
10,4085,9953.922154222766,8995.0,2991,59990
11,2603,8596.344602381867,7799.0,1395,54850
12,634,7581.741324921136,6993.0,2295,44990
13,432,6829.5625,5499.0,1649,149948
14,340,5286.14705882353,4497.0,900,26990
15,278,4365.723021582734,3767.0,1240,21500
16,200,3991.885,3372.5,694,33950
17,163,3706.435582822086,2895.0,995,42992
18,86,3714.093023255814,2885.5,850,17999
19,69,3017.4202898550725,2495.0,675,13990
20,52,4523.7692307692305,2691.5,950,19950
21,34,3658.029411764706,2495.0,450,14950
22,31,3579.2903225806454,2195.0,495,16999
23,20,4149.5,3970.0,450,13000
24,9,3162.5555555555557,1995.0,1295,11750
25,6,3521.6666666666665,3972.5,1200,5995
26,8,8257.25,4474.5,1990,19990
27,4,4886.25,4300.0,950,9995
28,2,4497.5,4497.5,3000,5995
54,2,17747.0,17747.0,10495,24999
