filename,source_type,actual_columns,expected_complete_columns,missing_complete_columns,unexpected_columns,tax_column,mpg_available,column_order_matches_complete,inferred_dtypes,schema_issues
audi.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
bmw.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
ford.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
hyundi.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax(£)"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""tax""]","[""tax(£)""]",tax(£),yes,no,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax(£)"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",tax uses tax(£); unexpected columns; column order differs
merc.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
skoda.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
toyota.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
vauxhall.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
vw.csv,canonical_manufacturer,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]",[],[],tax,yes,yes,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""tax"": ""int64"", ""mpg"": ""float64"", ""engineSize"": ""float64""}",none
cclass.csv,legacy_model_file,"[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""engineSize""]","[""model"", ""year"", ""price"", ""transmission"", ""mileage"", ""fuelType"", ""tax"", ""mpg"", ""engineSize""]","[""tax"", ""mpg""]",[],missing,no,no,"{""model"": ""object"", ""year"": ""int64"", ""price"": ""int64"", ""transmission"": ""object"", ""mileage"": ""int64"", ""fuelType"": ""object"", ""engineSize"": ""float64""}",missing tax; missing mpg; column order differs
